index,delta_e_dft,strain,r,r_s,r_p,r_d,X_p,d_electrons,s_electrons,molar_volume
Rh_surface_minus_2_Fe,0.161441,0.98,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_minus_2_Co,0.17473683,0.98,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_minus_2_Ni,0.17289292,0.98,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_minus_2_Cu,0.04026391,0.98,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_minus_2_Ru,-0.01290725,0.98,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_minus_2_Rh,0.03522259,0.98,0,0,0,0,0,0,0,0
Rh_surface_minus_2_Pd,-0.12358348,0.98,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_minus_2_Ag,-0.1065763,0.98,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_minus_2_Ir,-0.0426011,0.98,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_minus_2_Pt,-0.08668909,0.98,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_minus_2_Au,-0.20433855,0.98,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_minus_1_Fe,0.14259745,0.99,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_minus_1_Co,0.15952159,0.99,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_minus_1_Ni,0.15945839,0.99,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_minus_1_Cu,0.04028613,0.99,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_minus_1_Ru,-0.02492202,0.99,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_minus_1_Rh,0.01934534,0.99,0,0,0,0,0,0,0,0
Rh_surface_minus_1_Pd,-0.10138179,0.99,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_minus_1_Ag,-0.09647068,0.99,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_minus_1_Ir,-0.06250479,0.99,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_minus_1_Pt,-0.07060255,0.99,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_minus_1_Au,-0.18742845,0.99,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_zero_Fe,0.12000191,1,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_zero_Co,0.14052671,1,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_zero_Ni,0.13967569,1,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_zero_Cu,0.0340685,1,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_zero_Ru,-0.03547341,1,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_zero_Rh,0,1,0,0,0,0,0,0,0,0
Rh_surface_zero_Pd,-0.08938641,1,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_zero_Ag,-0.09687223,1,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_zero_Ir,-0.0800984,1,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_zero_Pt,-0.06667096,1,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_zero_Au,-0.17792381,1,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_plus_1_Fe,0.09929113,1.01,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_plus_1_Co,0.11724492,1.01,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_plus_1_Ni,0.11905611,1.01,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_plus_1_Cu,0.02855065,1.01,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_plus_1_Ru,-0.04923982,1.01,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_plus_1_Rh,-0.01933528,1.01,0,0,0,0,0,0,0,0
Rh_surface_plus_1_Pd,-0.08594555,1.01,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_plus_1_Ag,-0.09517816,1.01,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_plus_1_Ir,-0.10073066,1.01,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_plus_1_Pt,-0.077316,1.01,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_plus_1_Au,-0.17404798,1.01,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93
Rh_surface_plus_2_Fe,0.07944041,1.02,-0.17,-0.084668354,-0.132294303,-0.105835442,-0.45,-2,-1,-1.19
Rh_surface_plus_2_Co,0.08925688,1.02,-0.21,-0.10054367,-0.164044935,-0.111127214,-0.4,-1,-1,-1.61
Rh_surface_plus_2_Ni,0.09688482,1.02,-0.24,-0.079376582,-0.10054367,-0.119064872,-0.37,0,-1,-1.69
Rh_surface_plus_2_Cu,0.01402508,1.02,-0.28,-0.121710758,-0.132294303,-0.124356645,-0.38,2,0,-1.17
Rh_surface_plus_2_Ru,-0.06232335,1.02,0.05,0.018521202,0.026458861,0.015875316,-0.08,-1,0,-0.11
Rh_surface_plus_2_Rh,-0.0382406,1.02,0,0,0,0,0,0,0,0
Rh_surface_plus_2_Pd,-0.08973454,1.02,-0.04,-0.015875316,-0.021167088,-0.010583544,-0.08,2,-10,0.28
Rh_surface_plus_2_Ag,-0.10028129,1.02,-0.08,-0.034396519,-0.042334177,-0.018521202,-0.35,2,0,1.99
Rh_surface_plus_2_Ir,-0.11715678,1.02,0.07,0.026458861,0.030692278,0.056092784,-0.08,-1,-1,0.24
Rh_surface_plus_2_Pt,-0.08942531,1.02,0.04,0.068793037,0.026458861,0.047625949,0,1,0,0.81
Rh_surface_plus_2_Au,-0.17167382,1.02,0.01,0.052917721,0.021167088,0.03598405,0.26,2,0,1.93